mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,56,Morbihan,1384.0,2022-12-31,892.0,2017-12-31,492.0,55.0,1265.0,100.0,2022-03-31,kilomètres
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,56,Morbihan,23409.0,2022-12-31,0.0,2018-01-31,23409.0,,16977.0,100.0,2022-06-30,primes et bonus
Verdir le parc automobile,Nombre de bornes de recharge pour véhicules électriques déployées,nb-points-recharge,56,Morbihan,796.0,2022-12-31,444.0,2019-09-30,352.0,79.0,1132.0,51.0,2022-03-31,bornes de recharge
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,56,Morbihan,750000.0,2022-12-31,340000.0,2017-06-30,410000.0,121.0,750000.0,100.0,2022-12-31,habitants
