mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,87,Haute-Vienne,114.0,2021-03-31,108.0,2017-12-31,6.0,6.0,94.0,-43.0,2022-03-31,kilomètres
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,87,Haute-Vienne,6278.0,2021-03-31,0.0,2018-03-31,6278.0,,8243.0,76.0,2022-06-30,primes et bonus
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,87,Haute-Vienne,380000.0,2020-12-31,0.0,2017-06-30,380000.0,,380000.0,100.0,2022-12-31,habitants
